ID,Knum,CSPLIT_REC,TSD_NUM,INVOICE,LocCode,SystemDate,ApplicationDate,EventType,BGN01,SF_TRANS,STAT_FLAG,EXT,MSG1,MSG2,MSG3,MSG4,MSG5,MSG6,MSG7,MSG8,MSG9,MSG10,REQUESTED_DAYS,OFOUR_FROM,OFOUR_TO,CONFIRM_NUM,TIMEZONE,EMP_CODE,EMP_LNAME,EMP_FNAME,FIELD_CHANGED,REZ_NUM,csplitid
1800000023,037-SAMPLE1004,0,0,,8715,20260210140902,202602101409.0,4,22,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1004,1,EMP_0067,EMP,EMP,,,0
1800000024,037-SAMPLE1004,0,0,,9537,20260211165241,202602111652.0,1,99,,,,RA-eSignerPrint Interface,Event 2,,,,,,,,,0,,,037-SAMPLE1004,1,EMP_0060,EMP,EMP,,,0
1800000025,037-SAMPLE1004,0,0,,8903,20260212164244,202602121642.0,3,43,,,,Edi-Update,Event 3,Converted,,,,,,,,0,,,037-SAMPLE1004,1,EMP_0006,EMP,EMP,,,0
1800000026,037-SAMPLE1005,0,0,,2235,20260217101759,202602171017.0,1,20,,,,RA-eSignerPrint Interface,Initial contact,,,,,,,,,0,,,037-SAMPLE1005,1,EMP_0081,EMP,EMP,,,0
1800000027,037-SAMPLE1005,0,0,,9045,20260218151324,202602181513.0,4,11,,,,Loc-Contact,Event 2,Converted,,,,,,,,0,,,037-SAMPLE1005,1,EMP_0063,EMP,EMP,,,0
1800000028,037-SAMPLE1006,0,0,,5094,20260106100854,202601061008.0,4,23,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1006,1,EMP_0097,EMP,EMP,,,0
1800000029,037-SAMPLE1006,0,0,,7928,20260107131308,202601071313.0,4,95,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1006,1,EMP_0077,EMP,EMP,,,0
1800000030,037-SAMPLE1006,0,0,,7377,20260108181002,202601081810.0,0,76,,,,Rez-CDP Messaging,Event 3,,,,,,,,,0,,,037-SAMPLE1006,1,EMP_0063,EMP,EMP,,,0
1800000031,037-SAMPLE1006,0,0,,7499,20260109112300,202601091123.0,4,49,,,,Loc-Contact,Event 4,,,,,,,,,0,,,037-SAMPLE1006,1,EMP_0025,EMP,EMP,,,0
1800000032,037-SAMPLE1006,0,0,,7907,20260110151125,202601101511.0,3,5,,,,Edi-Update,Event 5,Converted,,,,,,,,0,,,037-SAMPLE1006,1,EMP_0068,EMP,EMP,,,0
1800000033,037-SAMPLE1007,0,0,,5715,20260210095356,202602100953.0,0,84,,,,Rez-CDP Messaging,Initial contact,,,,,,,,,0,,,037-SAMPLE1007,1,EMP_0037,EMP,EMP,,,0
1800000034,037-SAMPLE1007,0,0,,1594,20260211100759,202602111007.0,4,8,,,,Loc-Contact,Event 2,Converted,,,,,,,,0,,,037-SAMPLE1007,1,EMP_0042,EMP,EMP,,,0
1800000035,037-SAMPLE1008,0,0,,8301,20260210134758,202602101347.0,3,78,,,,Edi-Update,Initial contact,,,,,,,,,0,,,037-SAMPLE1008,1,EMP_0089,EMP,EMP,,,0
1800000036,037-SAMPLE1008,0,0,,3943,20260211113130,202602111131.0,4,30,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1008,1,EMP_0083,EMP,EMP,,,0
1800000037,037-SAMPLE1008,0,0,,7689,20260212131534,202602121315.0,0,48,,,,Rez-CDP Messaging,Event 3,Converted,,,,,,,,0,,,037-SAMPLE1008,1,EMP_0080,EMP,EMP,,,0
1800000038,037-SAMPLE1009,0,0,,8225,20260217120956,202602171209.0,0,72,,,,Rez-CDP Messaging,Initial contact,,,,,,,,,0,,,037-SAMPLE1009,1,EMP_0082,EMP,EMP,,,0
1800000039,037-SAMPLE1009,0,0,,2669,20260218132719,202602181327.0,4,99,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1009,1,EMP_0043,EMP,EMP,,,0
1800000040,037-SAMPLE1009,0,0,,8893,20260219085352,202602190853.0,3,49,,,,Edi-Update,Event 3,,,,,,,,,0,,,037-SAMPLE1009,1,EMP_0013,EMP,EMP,,,0
1800000041,037-SAMPLE1009,0,0,,6549,20260220143612,202602201436.0,0,5,,,,Rez-CDP Messaging,Event 4,,,,,,,,,0,,,037-SAMPLE1009,1,EMP_0043,EMP,EMP,,,0
1800000042,037-SAMPLE1009,0,0,,5624,20260221154048,202602211540.0,4,11,,,,Loc-Contact,Event 5,,,,,,,,,0,,,037-SAMPLE1009,1,EMP_0049,EMP,EMP,,,0
1800000043,037-SAMPLE1009,0,0,,6932,20260222132348,202602221323.0,3,35,,,,Edi-Update,Event 6,,,,,,,,,0,,,037-SAMPLE1009,1,EMP_0048,EMP,EMP,,,0
1800000044,037-SAMPLE1009,0,0,,8168,20260223104304,202602231043.0,4,37,,,,Loc-Contact,Event 7,,,,,,,,,0,,,037-SAMPLE1009,1,EMP_0068,EMP,EMP,,,0
1800000045,037-SAMPLE1010,0,0,,9036,20260106182040,202601061820.0,0,1,,,,Rez-CDP Messaging,Initial contact,,,,,,,,,0,,,037-SAMPLE1010,1,EMP_0012,EMP,EMP,,,0
1800000046,037-SAMPLE1010,0,0,,4803,20260107133304,202601071333.0,0,39,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1010,1,EMP_0023,EMP,EMP,,,0
1800000047,037-SAMPLE1010,0,0,,3963,20260108143300,202601081433.0,1,74,,,,RA-eSignerPrint Interface,Event 3,,,,,,,,,0,,,037-SAMPLE1010,1,EMP_0042,EMP,EMP,,,0
1800000048,037-SAMPLE1010,0,0,,6469,20260109092114,202601090921.0,1,70,,,,RA-eSignerPrint Interface,Event 4,,,,,,,,,0,,,037-SAMPLE1010,1,EMP_0023,EMP,EMP,,,0
1800000049,037-SAMPLE1010,0,0,,405,20260110181908,202601101819.0,1,48,,,,RA-eSignerPrint Interface,Event 5,,,,,,,,,0,,,037-SAMPLE1010,1,EMP_0002,EMP,EMP,,,0
1800000050,037-SAMPLE1010,0,0,,3449,20260111140509,202601111405.0,0,7,,,,Rez-CDP Messaging,Event 6,,,,,,,,,0,,,037-SAMPLE1010,1,EMP_0026,EMP,EMP,,,0
1800000051,037-SAMPLE1010,0,0,,8242,20260112184336,202601121843.0,1,95,,,,RA-eSignerPrint Interface,Event 7,,,,,,,,,0,,,037-SAMPLE1010,1,EMP_0069,EMP,EMP,,,0
1800000052,037-SAMPLE1010,0,0,,9913,20260113171436,202601131714.0,0,47,,,,Rez-CDP Messaging,Event 8,Converted,,,,,,,,0,,,037-SAMPLE1010,1,EMP_0029,EMP,EMP,,,0
1800000053,037-SAMPLE1011,0,0,,6811,20260127163507,202601271635.0,0,61,,,,Rez-CDP Messaging,Initial contact,,,,,,,,,0,,,037-SAMPLE1011,1,EMP_0041,EMP,EMP,,,0
1800000054,037-SAMPLE1011,0,0,,7370,20260128105206,202601281052.0,4,46,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1011,1,EMP_0088,EMP,EMP,,,0
1800000055,037-SAMPLE1011,0,0,,2447,20260128101211,202601281012.0,1,14,,,,RA-eSignerPrint Interface,Event 3,,,,,,,,,0,,,037-SAMPLE1011,1,EMP_0086,EMP,EMP,,,0
1800000056,037-SAMPLE1011,0,0,,2179,20260128105413,202601281054.0,3,10,,,,Edi-Update,Event 4,,,,,,,,,0,,,037-SAMPLE1011,1,EMP_0055,EMP,EMP,,,0
1800000057,037-SAMPLE1012,0,0,,1519,20260217134727,202602171347.0,4,68,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1012,1,EMP_0017,EMP,EMP,,,0
1800000058,037-SAMPLE1012,0,0,,7214,20260218102456,202602181024.0,4,17,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1012,1,EMP_0028,EMP,EMP,,,0
1800000059,037-SAMPLE1012,0,0,,8403,20260219151551,202602191515.0,4,5,,,,Loc-Contact,Event 3,,,,,,,,,0,,,037-SAMPLE1012,1,EMP_0063,EMP,EMP,,,0
1800000060,037-SAMPLE1012,0,0,,3671,20260220170241,202602201702.0,1,33,,,,RA-eSignerPrint Interface,Event 4,Converted,,,,,,,,0,,,037-SAMPLE1012,1,EMP_0034,EMP,EMP,,,0
1800000061,037-SAMPLE1013,0,0,,2683,20260217102841,202602171028.0,4,39,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1013,1,EMP_0042,EMP,EMP,,,0
1800000062,037-SAMPLE1013,0,0,,9049,20260218152733,202602181527.0,0,84,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1013,1,EMP_0092,EMP,EMP,,,0
1800000063,037-SAMPLE1013,0,0,,5625,20260219121529,202602191215.0,3,69,,,,Edi-Update,Event 3,,,,,,,,,0,,,037-SAMPLE1013,1,EMP_0059,EMP,EMP,,,0
1800000064,037-SAMPLE1013,0,0,,3681,20260220180959,202602201809.0,3,81,,,,Edi-Update,Event 4,,,,,,,,,0,,,037-SAMPLE1013,1,EMP_0068,EMP,EMP,,,0
1800000065,037-SAMPLE1013,0,0,,7468,20260221103108,202602211031.0,1,16,,,,RA-eSignerPrint Interface,Event 5,,,,,,,,,0,,,037-SAMPLE1013,1,EMP_0014,EMP,EMP,,,0
1800000066,037-SAMPLE1013,0,0,,6409,20260222104011,202602221040.0,3,56,,,,Edi-Update,Event 6,,,,,,,,,0,,,037-SAMPLE1013,1,EMP_0085,EMP,EMP,,,0
1800000067,037-SAMPLE1014,0,0,,7422,20260113092345,202601130923.0,1,27,,,,RA-eSignerPrint Interface,Initial contact,,,,,,,,,0,,,037-SAMPLE1014,1,EMP_0060,EMP,EMP,,,0
1800000068,037-SAMPLE1014,0,0,,4404,20260114130817,202601141308.0,0,4,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1014,1,EMP_0024,EMP,EMP,,,0
1800000069,037-SAMPLE1014,0,0,,1241,20260115100246,202601151002.0,1,44,,,,RA-eSignerPrint Interface,Event 3,,,,,,,,,0,,,037-SAMPLE1014,1,EMP_0067,EMP,EMP,,,0
1800000070,037-SAMPLE1014,0,0,,7318,20260116102554,202601161025.0,1,40,,,,RA-eSignerPrint Interface,Event 4,,,,,,,,,0,,,037-SAMPLE1014,1,EMP_0006,EMP,EMP,,,0
1800000071,037-SAMPLE1014,0,0,,2342,20260117091754,202601170917.0,0,71,,,,Rez-CDP Messaging,Event 5,Converted,,,,,,,,0,,,037-SAMPLE1014,1,EMP_0096,EMP,EMP,,,0
1800000072,037-SAMPLE1015,0,0,,6884,20260210173809,202602101738.0,1,8,,,,RA-eSignerPrint Interface,Initial contact,,,,,,,,,0,,,037-SAMPLE1015,1,EMP_0008,EMP,EMP,,,0
1800000073,037-SAMPLE1015,0,0,,941,20260211133512,202602111335.0,0,90,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1015,1,EMP_0071,EMP,EMP,,,0
1800000074,037-SAMPLE1015,0,0,,1699,20260212134305,202602121343.0,4,11,,,,Loc-Contact,Event 3,,,,,,,,,0,,,037-SAMPLE1015,1,EMP_0093,EMP,EMP,,,0
1800000075,037-SAMPLE1016,0,0,,2398,20260113131104,202601131311.0,1,23,,,,RA-eSignerPrint Interface,Initial contact,,,,,,,,,0,,,037-SAMPLE1016,1,EMP_0068,EMP,EMP,,,0
1800000076,037-SAMPLE1016,0,0,,6666,20260114083740,202601140837.0,0,14,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1016,1,EMP_0062,EMP,EMP,,,0
1800000077,037-SAMPLE1016,0,0,,4027,20260115162317,202601151623.0,3,9,,,,Edi-Update,Event 3,,,,,,,,,0,,,037-SAMPLE1016,1,EMP_0013,EMP,EMP,,,0
1800000078,037-SAMPLE1016,0,0,,291,20260116135306,202601161353.0,4,89,,,,Loc-Contact,Event 4,,,,,,,,,0,,,037-SAMPLE1016,1,EMP_0033,EMP,EMP,,,0
1800000079,037-SAMPLE1016,0,0,,2402,20260117103657,202601171036.0,4,9,,,,Loc-Contact,Event 5,,,,,,,,,0,,,037-SAMPLE1016,1,EMP_0049,EMP,EMP,,,0
1800000080,037-SAMPLE1016,0,0,,1808,20260118125911,202601181259.0,1,17,,,,RA-eSignerPrint Interface,Event 6,,,,,,,,,0,,,037-SAMPLE1016,1,EMP_0060,EMP,EMP,,,0
1800000081,037-SAMPLE1016,0,0,,489,20260119122437,202601191224.0,0,61,,,,Rez-CDP Messaging,Event 7,,,,,,,,,0,,,037-SAMPLE1016,1,EMP_0014,EMP,EMP,,,0
1800000082,037-SAMPLE1017,0,0,,2322,20260106172503,202601061725.0,3,72,,,,Edi-Update,Initial contact,,,,,,,,,0,,,037-SAMPLE1017,1,EMP_0064,EMP,EMP,,,0
1800000083,037-SAMPLE1017,0,0,,7706,20260107143013,202601071430.0,4,8,,,,Loc-Contact,Event 2,,,,,,,,,0,,,037-SAMPLE1017,1,EMP_0088,EMP,EMP,,,0
1800000084,037-SAMPLE1017,0,0,,5303,20260108132836,202601081328.0,3,79,,,,Edi-Update,Event 3,,,,,,,,,0,,,037-SAMPLE1017,1,EMP_0036,EMP,EMP,,,0
1800000085,037-SAMPLE1017,0,0,,5059,20260109092218,202601090922.0,1,2,,,,RA-eSignerPrint Interface,Event 4,Converted,,,,,,,,0,,,037-SAMPLE1017,1,EMP_0036,EMP,EMP,,,0
1800000086,037-SAMPLE1018,0,0,,6226,20260120115455,202601201154.0,4,10,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1018,1,EMP_0051,EMP,EMP,,,0
1800000087,037-SAMPLE1018,0,0,,8744,20260121123142,202601211231.0,1,44,,,,RA-eSignerPrint Interface,Event 2,,,,,,,,,0,,,037-SAMPLE1018,1,EMP_0005,EMP,EMP,,,0
1800000088,037-SAMPLE1018,0,0,,7958,20260122105701,202601221057.0,1,49,,,,RA-eSignerPrint Interface,Event 3,,,,,,,,,0,,,037-SAMPLE1018,1,EMP_0095,EMP,EMP,,,0
1800000089,037-SAMPLE1018,0,0,,4652,20260123175153,202601231751.0,4,72,,,,Loc-Contact,Event 4,,,,,,,,,0,,,037-SAMPLE1018,1,EMP_0043,EMP,EMP,,,0
1800000090,037-SAMPLE1018,0,0,,1227,20260124173443,202601241734.0,0,65,,,,Rez-CDP Messaging,Event 5,,,,,,,,,0,,,037-SAMPLE1018,1,EMP_0048,EMP,EMP,,,0
1800000091,037-SAMPLE1018,0,0,,4204,20260125143353,202601251433.0,3,67,,,,Edi-Update,Event 6,Converted,,,,,,,,0,,,037-SAMPLE1018,1,EMP_0021,EMP,EMP,,,0
1800000092,037-SAMPLE1019,0,0,,9543,20260210141800,202602101418.0,1,96,,,,RA-eSignerPrint Interface,Initial contact,,,,,,,,,0,,,037-SAMPLE1019,1,EMP_0082,EMP,EMP,,,0
1800000093,037-SAMPLE1019,0,0,,2173,20260211162904,202602111629.0,0,48,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1019,1,EMP_0029,EMP,EMP,,,0
1800000094,037-SAMPLE1019,0,0,,9831,20260212090617,202602120906.0,1,69,,,,RA-eSignerPrint Interface,Event 3,,,,,,,,,0,,,037-SAMPLE1019,1,EMP_0061,EMP,EMP,,,0
1800000095,037-SAMPLE1019,0,0,,6607,20260213160349,202602131603.0,4,40,,,,Loc-Contact,Event 4,,,,,,,,,0,,,037-SAMPLE1019,1,EMP_0076,EMP,EMP,,,0
1800000096,037-SAMPLE1019,0,0,,968,20260214144936,202602141449.0,0,99,,,,Rez-CDP Messaging,Event 5,,,,,,,,,0,,,037-SAMPLE1019,1,EMP_0026,EMP,EMP,,,0
1800000097,037-SAMPLE1019,0,0,,3307,20260215085311,202602150853.0,4,92,,,,Loc-Contact,Event 6,,,,,,,,,0,,,037-SAMPLE1019,1,EMP_0043,EMP,EMP,,,0
1800000098,037-SAMPLE1019,0,0,,5831,20260216152738,202602161527.0,0,77,,,,Rez-CDP Messaging,Event 7,,,,,,,,,0,,,037-SAMPLE1019,1,EMP_0019,EMP,EMP,,,0
1800000099,037-SAMPLE1020,0,0,,6889,20260106105049,202601061050.0,3,98,,,,Edi-Update,Initial contact,,,,,,,,,0,,,037-SAMPLE1020,1,EMP_0008,EMP,EMP,,,0
1800000100,037-SAMPLE1020,0,0,,4522,20260107143337,202601071433.0,3,87,,,,Edi-Update,Event 2,,,,,,,,,0,,,037-SAMPLE1020,1,EMP_0053,EMP,EMP,,,0
1800000101,037-SAMPLE1020,0,0,,1512,20260108184306,202601081843.0,4,64,,,,Loc-Contact,Event 3,,,,,,,,,0,,,037-SAMPLE1020,1,EMP_0076,EMP,EMP,,,0
1800000102,037-SAMPLE1020,0,0,,4164,20260109151822,202601091518.0,1,5,,,,RA-eSignerPrint Interface,Event 4,,,,,,,,,0,,,037-SAMPLE1020,1,EMP_0071,EMP,EMP,,,0
1800000103,037-SAMPLE1021,0,0,,9175,20260106173138,202601061731.0,0,53,,,,Rez-CDP Messaging,Initial contact,,,,,,,,,0,,,037-SAMPLE1021,1,EMP_0021,EMP,EMP,,,0
1800000104,037-SAMPLE1021,0,0,,9361,20260107100034,202601071000.0,0,36,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1021,1,EMP_0035,EMP,EMP,,,0
1800000105,037-SAMPLE1022,0,0,,858,20260210095545,202602100955.0,0,7,,,,Rez-CDP Messaging,Initial contact,,,,,,,,,0,,,037-SAMPLE1022,1,EMP_0010,EMP,EMP,,,0
1800000106,037-SAMPLE1022,0,0,,755,20260211094606,202602110946.0,1,4,,,,RA-eSignerPrint Interface,Event 2,,,,,,,,,0,,,037-SAMPLE1022,1,EMP_0074,EMP,EMP,,,0
1800000107,037-SAMPLE1022,0,0,,3376,20260212101054,202602121010.0,3,57,,,,Edi-Update,Event 3,,,,,,,,,0,,,037-SAMPLE1022,1,EMP_0040,EMP,EMP,,,0
1800000108,037-SAMPLE1022,0,0,,1401,20260213113357,202602131133.0,0,40,,,,Rez-CDP Messaging,Event 4,Converted,,,,,,,,0,,,037-SAMPLE1022,1,EMP_0037,EMP,EMP,,,0
1800000109,037-SAMPLE1023,0,0,,8066,20260210091010,202602100910.0,4,100,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1023,1,EMP_0075,EMP,EMP,,,0
1800000110,037-SAMPLE1023,0,0,,8634,20260211174824,202602111748.0,4,13,,,,Loc-Contact,Event 2,Converted,,,,,,,,0,,,037-SAMPLE1023,1,EMP_0085,EMP,EMP,,,0
1800000111,037-SAMPLE1024,0,0,,2962,20260203184209,202602031842.0,4,75,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1024,1,EMP_0035,EMP,EMP,,,0
1800000112,037-SAMPLE1024,0,0,,3458,20260204130548,202602041305.0,1,3,,,,RA-eSignerPrint Interface,Event 2,Converted,,,,,,,,0,,,037-SAMPLE1024,1,EMP_0014,EMP,EMP,,,0
1800000113,037-SAMPLE1025,0,0,,548,20260203103245,202602031032.0,4,14,,,,Loc-Contact,Initial contact,,,,,,,,,0,,,037-SAMPLE1025,1,EMP_0089,EMP,EMP,,,0
1800000114,037-SAMPLE1025,0,0,,4969,20260204145320,202602041453.0,0,21,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1025,1,EMP_0083,EMP,EMP,,,0
1800000115,037-SAMPLE1025,0,0,,7360,20260205153040,202602051530.0,0,60,,,,Rez-CDP Messaging,Event 3,,,,,,,,,0,,,037-SAMPLE1025,1,EMP_0058,EMP,EMP,,,0
1800000116,037-SAMPLE1025,0,0,,6545,20260206101516,202602061015.0,1,24,,,,RA-eSignerPrint Interface,Event 4,,,,,,,,,0,,,037-SAMPLE1025,1,EMP_0043,EMP,EMP,,,0
1800000117,037-SAMPLE1025,0,0,,2824,20260207121432,202602071214.0,4,98,,,,Loc-Contact,Event 5,,,,,,,,,0,,,037-SAMPLE1025,1,EMP_0083,EMP,EMP,,,0
1800000118,037-SAMPLE1025,0,0,,3844,20260208084250,202602080842.0,1,30,,,,RA-eSignerPrint Interface,Event 6,,,,,,,,,0,,,037-SAMPLE1025,1,EMP_0064,EMP,EMP,,,0
1800000119,037-SAMPLE1025,0,0,,8677,20260209160741,202602091607.0,0,39,,,,Rez-CDP Messaging,Event 7,,,,,,,,,0,,,037-SAMPLE1025,1,EMP_0065,EMP,EMP,,,0
1800000120,037-SAMPLE1025,0,0,,4809,20260210150158,202602101501.0,0,64,,,,Rez-CDP Messaging,Event 8,Converted,,,,,,,,0,,,037-SAMPLE1025,1,EMP_0035,EMP,EMP,,,0
1800000121,037-SAMPLE1026,0,0,,4419,20260106174822,202601061748.0,1,17,,,,RA-eSignerPrint Interface,Initial contact,,,,,,,,,0,,,037-SAMPLE1026,1,EMP_0013,EMP,EMP,,,0
1800000122,037-SAMPLE1026,0,0,,7176,20260107130154,202601071301.0,1,36,,,,RA-eSignerPrint Interface,Event 2,,,,,,,,,0,,,037-SAMPLE1026,1,EMP_0086,EMP,EMP,,,0
1800000123,037-SAMPLE1026,0,0,,9336,20260108092737,202601080927.0,3,84,,,,Edi-Update,Event 3,,,,,,,,,0,,,037-SAMPLE1026,1,EMP_0060,EMP,EMP,,,0
1800000124,037-SAMPLE1026,0,0,,7265,20260109103604,202601091036.0,1,83,,,,RA-eSignerPrint Interface,Event 4,,,,,,,,,0,,,037-SAMPLE1026,1,EMP_0009,EMP,EMP,,,0
1800000125,037-SAMPLE1026,0,0,,9112,20260110180226,202601101802.0,1,81,,,,RA-eSignerPrint Interface,Event 5,,,,,,,,,0,,,037-SAMPLE1026,1,EMP_0064,EMP,EMP,,,0
1800000126,037-SAMPLE1026,0,0,,8321,20260111143944,202601111439.0,0,58,,,,Rez-CDP Messaging,Event 6,,,,,,,,,0,,,037-SAMPLE1026,1,EMP_0070,EMP,EMP,,,0
1800000127,037-SAMPLE1026,0,0,,3665,20260112134026,202601121340.0,0,12,,,,Rez-CDP Messaging,Event 7,,,,,,,,,0,,,037-SAMPLE1026,1,EMP_0032,EMP,EMP,,,0
1800000128,037-SAMPLE1027,0,0,,1061,20260106150706,202601061507.0,0,69,,,,Rez-CDP Messaging,Initial contact,,,,,,,,,0,,,037-SAMPLE1027,1,EMP_0033,EMP,EMP,,,0
1800000129,037-SAMPLE1027,0,0,,3724,20260107104100,202601071041.0,0,23,,,,Rez-CDP Messaging,Event 2,,,,,,,,,0,,,037-SAMPLE1027,1,EMP_0081,EMP,EMP,,,0
